filename,text,model_name,speaker_name,language
sample1,text1,vits,My,vi
sample2,text2,vits,My,vi
sample3,text3,vits,My,vi
sample4,text4,vits,My,vi
sample5,text5,vits,My,vi
sample6,text6,vits,Minh,vi
sample1,text1,xtts,Minh,vi
sample2,text2,xtts,Hương,vi
sample3,text3,xtts,Hương,vi
sample4,text4,xtts,Hương,vi
sample5,text5,xtts,Hương,vi
sample6,text6,xtts,Hương,vi
sample1,text1,elevenlab,Hung,vi
sample2,text2,elevenlab,Hung,vi
sample3,text3,elevenlab,Hung,vi
sample4,text4,elevenlab,Hung,vi
sample5,text5,elevenlab,Hung,vi
