filename,text,model_name,speaker_name,language
E1_xtts.wav,Tôi mua bàn để làm việc trên bàn.,xtts,female1,vi
A36_f5tts.wav,Mắt em sáng như vì sao đêm.,f5tts,female2,vi
B3_xtts.wav,"Trời ơi, đẹp quá đi mất!",xtts,female1,vi
G1_xtts.wav,"Với mục tiêu nâng cao chất lượng sống của người dân đô thị, chính quyền thành phố đã triển khai hàng loạt dự án phát triển hạ tầng giao thông, cải tạo cảnh quan đô thị và thúc đẩy các hoạt động bảo vệ môi trường.",xtts,female1,vi
D5_f5tts.wav,Cô ấy đang học tại Đại học Bách Khoa thành phố Hồ Chí Minh.,f5tts,female2,vi
A36_freetts.wav,Mắt em sáng như vì sao đêm.,freetts,HoaiMy,vi
A37_freetts.wav,Không! Không! Tôi không tin điều đó.,freetts,HoaiMy,vi
G1_elevenlab.wav,"Với mục tiêu nâng cao chất lượng sống của người dân đô thị, chính quyền thành phố đã triển khai hàng loạt dự án phát triển hạ tầng giao thông, cải tạo cảnh quan đô thị và thúc đẩy các hoạt động bảo vệ môi trường.",elevenlab,,vi
A26_xtts.wav,Tôi không đi học vì bị ốm.,xtts,female1,vi
A7_elevenlab.wav,Người nhà ngồi nghe nhạc nhẹ nhàng.,elevenlab,,vi
A37_xtts.wav,Không! Không! Tôi không tin điều đó.,xtts,female1,vi
A14_elevenlab.wav,"Học, học nữa, học mãi.",elevenlab,,vi
A37_f5tts.wav,Không! Không! Tôi không tin điều đó.,f5tts,female2,vi
B4_xtts.wav,Nếu trời không mưa và gió không lớn thì chúng ta sẽ đi dã ngoại ở công viên quốc gia.,xtts,female1,vi
A26_f5tts.wav,Tôi không đi học vì bị ốm.,f5tts,female2,vi
D5_xtts.wav,Cô ấy đang học tại Đại học Bách Khoa thành phố Hồ Chí Minh.,xtts,female1,vi
B3_elevenlab.wav,"Trời ơi, đẹp quá đi mất!",elevenlab,,vi
G1_freetts.wav,"Với mục tiêu nâng cao chất lượng sống của người dân đô thị, chính quyền thành phố đã triển khai hàng loạt dự án phát triển hạ tầng giao thông, cải tạo cảnh quan đô thị và thúc đẩy các hoạt động bảo vệ môi trường.",freetts,HoaiMy,vi
A37_elevenlab.wav,Không! Không! Tôi không tin điều đó.,elevenlab,,vi
A26_freetts.wav,Tôi không đi học vì bị ốm.,freetts,HoaiMy,vi
B3_f5tts.wav,"Trời ơi, đẹp quá đi mất!",f5tts,female2,vi
A7_freetts.wav,Người nhà ngồi nghe nhạc nhẹ nhàng.,freetts,HoaiMy,vi
B3_freetts.wav,"Trời ơi, đẹp quá đi mất!",freetts,HoaiMy,vi
E1_elevenlab.wav,Tôi mua bàn để làm việc trên bàn.,elevenlab,,vi
A14_xtts.wav,"Học, học nữa, học mãi.",xtts,female1,vi
A7_f5tts.wav,Người nhà ngồi nghe nhạc nhẹ nhàng.,f5tts,female2,vi
B4_f5tts.wav,Nếu trời không mưa và gió không lớn thì chúng ta sẽ đi dã ngoại ở công viên quốc gia.,f5tts,female2,vi
A26_elevenlab.wav,Tôi không đi học vì bị ốm.,elevenlab,,vi
A14_f5tts.wav,"Học, học nữa, học mãi.",f5tts,female2,vi
E1_freetts.wav,Tôi mua bàn để làm việc trên bàn.,freetts,HoaiMy,vi
B4_freetts.wav,Nếu trời không mưa và gió không lớn thì chúng ta sẽ đi dã ngoại ở công viên quốc gia.,freetts,HoaiMy,vi
A7_xtts.wav,Người nhà ngồi nghe nhạc nhẹ nhàng.,xtts,female1,vi
E1_f5tts.wav,Tôi mua bàn để làm việc trên bàn.,f5tts,female2,vi
A36_elevenlab.wav,Mắt em sáng như vì sao đêm.,elevenlab,,vi
A14_freetts.wav,"Học, học nữa, học mãi.",freetts,HoaiMy,vi
G1_f5tts.wav,"Với mục tiêu nâng cao chất lượng sống của người dân đô thị, chính quyền thành phố đã triển khai hàng loạt dự án phát triển hạ tầng giao thông, cải tạo cảnh quan đô thị và thúc đẩy các hoạt động bảo vệ môi trường.",f5tts,female2,vi
B4_elevenlab.wav,Nếu trời không mưa và gió không lớn thì chúng ta sẽ đi dã ngoại ở công viên quốc gia.,elevenlab,,vi
A36_xtts.wav,Mắt em sáng như vì sao đêm.,xtts,female1,vi
D5_elevenlab.wav,Cô ấy đang học tại Đại học Bách Khoa thành phố Hồ Chí Minh.,elevenlab,,vi
D5_freetts.wav,Cô ấy đang học tại Đại học Bách Khoa thành phố Hồ Chí Minh.,freetts,HoaiMy,vi
